date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:49	4168/4168	---M-Z	200	added ('OK')	text/html	etag:%221048-641a5d461de52-gzip%22	https://officehub.kr/event/event_page.html	C:/My%20Web%20Sites/officehub_event2/officehub.kr/event/event_page.html	(from )
14:26:49	275/275	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Nov%202025%2005:26:50%20GMT	https://officehub.kr/robots.txt		(from )
14:26:49	15592/15592	---M-Z	200	added ('OK')	text/css	etag:%223ce8-62ba3402a319b-gzip%22	https://officehub.kr/event/event_style.css	C:/My%20Web%20Sites/officehub_event2/officehub.kr/event/event_style.css	(from https://officehub.kr/event/event_page.html)
14:26:50	93113/93113	---M-Z	200	added ('OK')	text/javascript	etag:%2216bb9-617728171af34-gzip%22	https://officehub.kr/common/js/jquery-1.10.2.min.js	C:/My%20Web%20Sites/officehub_event2/officehub.kr/common/js/jquery-1.10.2.min.js	(from https://officehub.kr/event/event_page.html)
14:26:50	980/980	---M--	200	added ('OK')	image/png	etag:%223d4-61b371a271133%22	https://officehub.kr/event/img/ico-kakao.png	C:/My%20Web%20Sites/officehub_event2/officehub.kr/event/img/ico-kakao.png	(from https://officehub.kr/event/event_page.html)
14:26:51	1348062/1348062	---M--	200	added ('OK')	image/png	etag:%221491de-6436ee72d0c76%22	https://officehub.kr/event/img/qrpayback.png	C:/My%20Web%20Sites/officehub_event2/officehub.kr/event/img/qrpayback.png	(from https://officehub.kr/event/event_page.html)
14:26:51	77655/77655	---M--	200	added ('OK')	image/png	etag:%2212f57-61b371a26f1f3%22	https://officehub.kr/event/img/header-bg.png	C:/My%20Web%20Sites/officehub_event2/officehub.kr/event/img/header-bg.png	(from https://officehub.kr/event/event_style.css)
14:26:51	79922/79922	---M--	200	added ('OK')	image/png	etag:%2213832-61b371a266553%22	https://officehub.kr/event/img/desc-img-01.png	C:/My%20Web%20Sites/officehub_event2/officehub.kr/event/img/desc-img-01.png	(from https://officehub.kr/event/event_style.css)
14:26:51	88017/88017	---M--	200	added ('OK')	image/png	etag:%22157d1-61b371a26c313%22	https://officehub.kr/event/img/desc-img-02.png	C:/My%20Web%20Sites/officehub_event2/officehub.kr/event/img/desc-img-02.png	(from https://officehub.kr/event/event_style.css)
14:26:52	6377/6377	---M--	200	added ('OK')	image/png	etag:%2218e9-61cddcf57535a%22	https://officehub.kr/event/img/fire.png	C:/My%20Web%20Sites/officehub_event2/officehub.kr/event/img/fire.png	(from https://officehub.kr/event/event_style.css)
14:26:52	55008/55008	---M--	200	added ('OK')	image/png	etag:%22d6e0-61b371a279dd4%22	https://officehub.kr/event/img/mobile-desc-img-01.png	C:/My%20Web%20Sites/officehub_event2/officehub.kr/event/img/mobile-desc-img-01.png	(from https://officehub.kr/event/event_style.css)
14:26:52	71048/71048	---M--	200	added ('OK')	image/png	etag:%2211588-61b371a27dc54%22	https://officehub.kr/event/img/mobile-desc-img-02.png	C:/My%20Web%20Sites/officehub_event2/officehub.kr/event/img/mobile-desc-img-02.png	(from https://officehub.kr/event/event_style.css)
